16,1000,64,39462
16,1000,64,46592
16,1000,64,60987
16,1000,64,36827
16,1000,64,45889
16,1000,64,55390
16,1000,64,62482
16,1000,64,47316
16,1000,64,58463
16,1000,64,41447
32,1000,64,110670
32,1000,64,110107
32,1000,64,71622
32,1000,64,70581
32,1000,64,108759
32,1000,64,71552
32,1000,64,109644
32,1000,64,107526
32,1000,64,108724
32,1000,64,108013
64,1000,64,196087
64,1000,64,207416
64,1000,64,130711
64,1000,64,191120
64,1000,64,206258
64,1000,64,206864
64,1000,64,207048
64,1000,64,206659
64,1000,64,131729
64,1000,64,201333
128,1000,64,327065
128,1000,64,312121
128,1000,64,331818
128,1000,64,317004
128,1000,64,293003
128,1000,64,317836
128,1000,64,324833
128,1000,64,311135
128,1000,64,348534
128,1000,64,338385
