n,steps,threads,time
1024,1000,45,1082988
1024,1000,45,1081568
1024,1000,45,1087429
1024,1000,45,1081759
1024,1000,45,1083447
2048,1000,45,2330902
2048,1000,45,2330570
2048,1000,45,2331183
2048,1000,45,2331937
2048,1000,45,2332603
4096,1000,45,9819521
4096,1000,45,9980838
4096,1000,45,9847034
4096,1000,45,9749288
4096,1000,45,9726291
