n,steps,threads,time
1024,1000,64,797541
1024,1000,64,797158
1024,1000,64,797603
1024,1000,64,797198
1024,1000,64,798559
2048,1000,64,2294758
2048,1000,64,2295227
2048,1000,64,2295321
2048,1000,64,2293639
2048,1000,64,2294197
4096,1000,64,8503787
4096,1000,64,8712966
4096,1000,64,8574338
4096,1000,64,8766275
4096,1000,64,8755103
