n,steps,threads,time
1024,1000,64,233974
1024,1000,64,234996
1024,1000,64,234380
1024,1000,64,235508
1024,1000,64,234773
2048,1000,64,916195
2048,1000,64,916064
2048,1000,64,925279
2048,1000,64,923788
2048,1000,64,923538
4096,1000,64,8651130
4096,1000,64,8740973
4096,1000,64,8753865
4096,1000,64,8719779
4096,1000,64,8614129
