16,1000,64,65459
16,1000,64,63536
16,1000,64,66084
16,1000,64,66162
16,1000,64,61961
16,1000,64,62106
16,1000,64,65303
16,1000,64,66087
16,1000,64,65713
16,1000,64,65486
32,1000,64,108140
32,1000,64,137132
32,1000,64,91163
32,1000,64,103861
32,1000,64,87363
32,1000,64,84632
32,1000,64,87569
32,1000,64,117153
32,1000,64,118345
32,1000,64,117268
64,1000,64,221121
64,1000,64,139032
64,1000,64,140476
64,1000,64,140366
64,1000,64,143125
64,1000,64,141409
64,1000,64,139818
64,1000,64,140078
64,1000,64,140998
64,1000,64,140144
128,1000,64,327770
128,1000,64,333016
128,1000,64,331020
128,1000,64,311159
128,1000,64,346214
128,1000,64,358077
128,1000,64,321591
128,1000,64,370622
128,1000,64,326054
128,1000,64,325695
