16,1000,26457
16,1000,22563
16,1000,25917
16,1000,23477
16,1000,23400
16,1000,27996
16,1000,23222
16,1000,27104
16,1000,25332
16,1000,26856
32,1000,93283
32,1000,88099
32,1000,87156
32,1000,87888
32,1000,87499
32,1000,90654
32,1000,94954
32,1000,90458
32,1000,92128
32,1000,91234
64,1000,367514
64,1000,338502
64,1000,360287
64,1000,347666
64,1000,369088
64,1000,330328
64,1000,329243
64,1000,344763
64,1000,331226
64,1000,340994
128,1000,1342664
128,1000,1302504
128,1000,1278768
128,1000,1292985
128,1000,1279486
128,1000,1331757
128,1000,1326112
128,1000,1284672
128,1000,1290843
128,1000,1236335
